Part_Label,FeatureNum:4.0,Model:GradientBoosting,Scaler:standard,Prob_Threshold:0.5,Model:XGBmodel,Model:sklearn_SVM,Model:LogisticRegression,Model:random_forest,AugName:noAug,FS_Method:biMaxInfgain,FS_Method:noSelect,FeatureNum:5.0,FeatureNum:6.0,FeatureNum:8.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Split_Ratio:0.2,FS_Method:infgain,FeatureNum:7.0,Scaler:minmax,Prob_Threshold:0.35,Model:DTmodel
FeatureNum:8.0,,0.9818131077965214,0.9748019739261966,0.8822819146205874,0.9386206825247101,0.9423664463384694,0.9976352147720031,0.9274362585698904,0.9918063929904019,0.9947316496469353,1.0,,,,0.9918063929904039,0.9917965787110945,0.991815617919452,0.9918063929904039,0.9821389297686104,,0.9972717288245706,0.9488684059434577,0.960999456222485
ImblName:noImbl,0.9917470274127769,0.9956387309176098,0.9941812787067618,0.9337177821003773,0.9746576192344154,0.9770166213961023,0.9868735455913883,0.87363107255165,1.0,0.9991866336516203,0.9918063929904039,0.9939432814710274,0.9995162019849233,0.9918063929904039,,0.9999997048791587,0.9999997051396552,1.0,0.9978757852726635,0.9884489992898154,0.9947252872142026,0.9039827153626204,0.9838799595369422
Norm_Order:first,0.9917400559959179,0.995704291626938,0.9942342540033624,0.9336665778379979,0.9746423684324187,0.9769982886320756,0.9868121145379013,0.8735302195951775,0.9999997048791587,0.9992052397171403,0.9917965787110945,0.9940213099353633,0.9995036563128376,0.9917965787110945,0.9999997048791587,,,0.9999997048791606,0.9978592563822157,0.9883954431079764,0.9946742692452483,0.9040432724084851,0.9839916310826884
Norm_Order:last,0.9917534107693267,0.9955726118706146,0.9941277403765408,0.9337684130051555,0.9746722884015008,0.9770343697732744,0.9869343674188457,0.8737313656760922,0.9999997051396552,0.999167446428311,0.991815617919452,0.9938647011727808,0.9995281525533785,0.991815617919452,0.9999997051396552,,,0.999999705139655,0.9978917182687544,0.9885019487925818,0.9947756959224641,0.9039216518336873,0.9837677569443551
Split_Ratio:0.2,0.9917470274127769,0.9956387309176098,0.9941812787067618,0.9337177821003773,0.9746576192344154,0.9770166213961023,0.9868735455913883,0.87363107255165,1.0,0.9991866336516203,0.9918063929904039,0.9939432814710274,0.9995162019849233,0.9918063929904039,1.0,0.9999997048791606,0.999999705139655,,0.9978757852726635,0.9884489992898154,0.9947252872142026,0.9039827153626204,0.9838799595369422
FS_Method:infgain,0.9977063259393317,0.9939620593136081,0.9956651401509894,0.9548077753692066,0.9867311331894452,0.9884796984034644,0.9778286911264669,0.8456797950405279,0.9978757852726635,,,0.9921701772517546,0.9993740174158275,0.9821389297686104,0.9978757852726635,0.9978592563822157,0.9978917182687544,0.9978757852726635,,0.9795110249498888,0.9891883048510937,0.8745060328703156,0.9850643976653344
FeatureNum:7.0,,0.9732800234199649,0.9668365506776773,0.880160915955921,0.9347243495922913,0.9388246204812364,0.9998834876636955,0.9356978244438591,0.9884489992898154,0.9902344453296915,0.9983280047099427,,,,0.9884489992898154,0.9883954431079764,0.9885019487925818,0.9884489992898154,0.9795110249498888,,0.9983385813426756,0.9446225339921782,0.948537873204291
Scaler:minmax,0.977089303961018,0.9818429530176912,,0.9056382447129347,0.9533810876414449,0.9569285263771052,0.9977957727483244,0.9144043474965392,0.9947252872142026,0.9947985981840489,0.9972717288245706,0.9788473434611865,0.9932027419845729,0.9972717288245706,0.9947252872142026,0.9946742692452483,0.9947756959224641,0.9947252872142026,0.9891883048510937,0.9983385813426756,,0.926867673586015,0.9609334512847882
Prob_Threshold:0.35,0.8421002986859326,0.8914930064692766,0.8696824217938491,,0.785917567190758,0.7925002252271462,0.9445743403416101,0.9762022659467,0.9039827153626204,0.918605844704824,0.9488684059434577,0.8896531521452825,0.8910694244375957,0.9488684059434577,0.9039827153626204,0.9040432724084851,0.9039216518336873,0.9039827153626204,0.8745060328703156,0.9446225339921782,0.926867673586015,,0.8575781338917103
Model:DTmodel,0.9876789589125903,,0.9968025283555906,0.9453199111225195,,,,,0.9838799595369422,0.9833571037711617,0.960999456222485,0.9968816239781912,0.9838430516936529,0.960999456222485,0.9838799595369422,0.9839916310826884,0.9837677569443551,0.9838799595369422,0.9850643976653344,0.948537873204291,0.9609334512847882,0.8575781338917103,
