Part_Label,FeatureNum:7.0,Scaler:minmax,FS_Method:biMaxInfgain,FeatureNum:5.0,AugName:noAug,FS_Method:infgain,FS_Method:noSelect,FeatureNum:6.0,FeatureNum:8.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Split_Ratio:0.2,Scaler:standard,Model:sklearn_SVM,FeatureNum:4.0,Model:GradientBoosting,Model:XGBmodel,Model:LogisticRegression,Model:random_forest,Model:DTmodel
FeatureNum:7.0,,0.9994753410042752,0.9958313138265539,,0.9987233518311502,0.9972631998442067,0.9980500199247764,,,0.9987233518311502,0.9986879399420402,0.9987567071924588,0.9987233518311502,0.9987233518311502,0.9973501400378081,0.9832342294851933,,0.9951995143667943,0.985359377250754,0.9952861887538839,0.9831781734758126,0.9492068739697997
Scaler:minmax,0.9994753410042752,,0.9973721384601918,0.9925970054957929,0.9997176061739632,0.9979183421636088,0.9982708192404625,0.9995922526920862,0.9982708192404625,0.9997176061739632,0.9997042979894248,0.9997288535721863,0.9997176061739632,0.9997176061739632,,0.9853614011113266,0.9953400789636029,0.997554608599978,0.986661503223234,0.9959842429713048,0.9849507065793838,0.9466946639919682
FS_Method:biMaxInfgain,0.9958313138265539,0.9973721384601918,,0.9987474581291087,0.9981716479090446,,,0.9955330639394553,0.9991328436634961,0.9981716479090446,0.9982546296284049,0.9980865989749994,0.9981716479090446,0.9981716479090446,0.9984054039722546,0.9749950082886721,0.9900636939293541,0.9986628664974151,0.9755347719312879,0.9895994307257413,0.9943009060148558,0.9592782089776517
FeatureNum:5.0,,0.9925970054957929,0.9987474581291087,,0.9940360283049546,0.9847824938345112,0.9964922357959677,,,0.9940360283049546,0.9941891669326217,0.9938808239860266,0.9940360283049546,0.9940360283049546,0.9949344880222794,0.9651353215840788,,0.9964074460504628,0.965024739108907,0.9819410139839426,0.9976651564938751,0.9646547017851542
AugName:noAug,0.9987233518311502,0.9997176061739632,0.9981716479090446,0.9940360283049546,,0.9977636767574294,0.9983454503209811,0.9993954970443832,0.9983454503209811,1.0,0.9999989688054957,0.9999989685994983,1.0,1.0,0.9996971736231709,0.9857013432853855,0.9960873213057173,0.9988353602751026,0.9865868491286366,0.9962719409114119,0.9862017256679221,0.9454756481874581
FS_Method:infgain,0.9972631998442067,0.9979183421636088,,0.9847824938345112,0.9977636767574294,,,0.9993447472214664,0.9929209653093644,0.9977636767574298,0.99767287781966,0.9978524266788489,0.9977636767574298,0.9977636767574298,0.9970095890893524,0.9939648915721814,0.9989152700774684,0.995115937378787,0.9950095668490192,0.9995199285357593,0.9729361716291317,0.9246483058512877
FS_Method:noSelect,0.9980500199247764,0.9982708192404625,,0.9964922357959677,0.9983454503209811,,,0.9964959449151877,1.0,0.998345450320979,0.9983941251105355,0.9982947113847331,0.998345450320979,0.998345450320979,0.997828462116162,0.9746065533272392,0.9894662876643359,0.9969227509715638,0.9761960860784371,0.9904664018161039,0.9925365740383091,0.9624173888233382
FeatureNum:6.0,,0.9995922526920862,0.9955330639394553,,0.9993954970443832,0.9993447472214664,0.9964959449151877,,,0.9993954970443822,0.9993477015372944,0.999441235874083,0.9993954970443822,0.9993954970443822,0.9985968518804165,0.9895823833257842,,0.997024209548373,0.9907915928088068,0.9981010205085757,0.9802489974543278,0.9376214298916911
FeatureNum:8.0,,0.9982708192404625,0.9991328436634961,,0.9983454503209811,0.9929209653093644,1.0,,,0.998345450320979,0.9983941251105355,0.9982947113847331,0.998345450320979,0.998345450320979,0.997828462116162,0.9746065533272392,,0.9969227509715638,0.9761960860784371,0.9904664018161039,0.9925365740383091,0.9624173888233382
ImblName:noImbl,0.9987233518311502,0.9997176061739632,0.9981716479090446,0.9940360283049546,1.0,0.9977636767574298,0.998345450320979,0.9993954970443822,0.998345450320979,,0.9999989688054957,0.9999989685994983,1.0,1.0,0.9996971736231709,0.9857013432853855,0.9960873213057173,0.9988353602751026,0.9865868491286366,0.9962719409114119,0.9862017256679221,0.9454756481874581
Norm_Order:first,0.9986879399420402,0.9997042979894248,0.9982546296284049,0.9941891669326217,0.9999989688054957,0.99767287781966,0.9983941251105355,0.9993477015372944,0.9983941251105355,0.9999989688054957,,,0.9999989688054931,0.9999989688054931,0.9997088563612448,0.9855167429525142,0.9959998858796989,0.9988800655246156,0.9863872240101444,0.9961582166330796,0.9864231300018322,0.9457889127140329
