Rank,Metric,Value,LogDir,Norm_First,Split_Ratio,P_th
2,W_F1,0.8600,log/pimaindians_diabetes/8/noSelect/MinMax__noAUG__SMOTE/XGBmodel,True,0.1,0.5
2,Acc,0.8571,log/pimaindians_diabetes/8/noSelect/Standard__noAUG__SMOTE/XGBmodel,True,0.1,0.5
3,M_P,0.8472,log/pimaindians_diabetes/8/noSelect/gaussian_noise__noIMB__Standard/random_forest,False,0.1,0.5
3,M_R,0.8730,log/pimaindians_diabetes/8/noSelect/MinMax__noAUG__SMOTE/XGBmodel,True,0.1,0.5
3,M_F1,0.8507,log/pimaindians_diabetes/8/noSelect/MinMax__noAUG__SMOTE/XGBmodel,True,0.1,0.5
3,m_P,0.8571,log/pimaindians_diabetes/8/noSelect/MinMax__noAUG__SMOTE/XGBmodel,True,0.1,0.5
3,m_R,0.8571,log/pimaindians_diabetes/8/noSelect/MinMax__noAUG__SMOTE/XGBmodel,True,0.1,0.5
3,m_F1,0.8571,log/pimaindians_diabetes/8/noSelect/MinMax__noAUG__SMOTE/XGBmodel,True,0.1,0.5
3,W_P,0.8770,log/pimaindians_diabetes/8/noSelect/Standard__noAUG__SMOTE/XGBmodel,True,0.1,0.5
3,W_R,0.8571,log/pimaindians_diabetes/8/noSelect/MinMax__noAUG__SMOTE/XGBmodel,True,0.1,0.5
3,W_F1,0.8600,log/pimaindians_diabetes/8/noSelect/Standard__noAUG__SMOTE/XGBmodel,True,0.1,0.5
3,Acc,0.8571,log/pimaindians_diabetes/8/noSelect/MinMax__noAUG__SMOTE/XGBmodel,True,0.1,0.5
4,M_P,0.8444,log/pimaindians_diabetes/8/noSelect/Standard__noAUG__SMOTE/XGBmodel,True,0.1,0.5
4,M_R,0.8630,log/pimaindians_diabetes/8/noSelect/Standard__noAUG__SMOTE/GradientBoosting,True,0.1,0.5
4,M_F1,0.8468,log/pimaindians_diabetes/4/biMaxInfgain/Standard__mixup__SMOTE/GradientBoosting,True,0.1,0.5
4,m_P,0.8571,log/pimaindians_diabetes/4/biMaxInfgain/Standard__mixup__SMOTE/GradientBoosting,True,0.1,0.5
4,m_R,0.8571,log/pimaindians_diabetes/4/biMaxInfgain/Standard__mixup__SMOTE/GradientBoosting,True,0.1,0.5
4,m_F1,0.8571,log/pimaindians_diabetes/4/biMaxInfgain/Standard__mixup__SMOTE/GradientBoosting,True,0.1,0.5
4,W_P,0.8726,log/pimaindians_diabetes/6/infgain/MinMax__noAUG__TomekLinks/GradientBoosting,True,0.1,0.35
4,W_R,0.8571,log/pimaindians_diabetes/4/biMaxInfgain/Standard__mixup__SMOTE/GradientBoosting,True,0.1,0.5
4,W_F1,0.8587,log/pimaindians_diabetes/4/biMaxInfgain/Standard__mixup__SMOTE/GradientBoosting,True,0.1,0.5
4,Acc,0.8571,log/pimaindians_diabetes/4/biMaxInfgain/Standard__mixup__SMOTE/GradientBoosting,True,0.1,0.5
5,M_P,0.8444,log/pimaindians_diabetes/8/noSelect/MinMax__noAUG__SMOTE/XGBmodel,True,0.1,0.5
5,M_R,0.8630,log/pimaindians_diabetes/7/biMaxInfgain/Standard__noAUG__TomekLinks/GradientBoosting,True,0.1,0.35
5,M_F1,0.8380,log/pimaindians_diabetes/8/noSelect/Standard__noAUG__SMOTE/GradientBoosting,True,0.1,0.5
5,m_P,0.8442,log/pimaindians_diabetes/7/biMaxInfgain/MinMax__noAUG__TomekLinks/GradientBoosting,True,0.1,0.35
5,m_R,0.8442,log/pimaindians_diabetes/7/biMaxInfgain/MinMax__noAUG__TomekLinks/GradientBoosting,True,0.1,0.35
5,m_F1,0.8442,log/pimaindians_diabetes/7/biMaxInfgain/MinMax__noAUG__TomekLinks/GradientBoosting,True,0.1,0.35
5,W_P,0.8726,log/pimaindians_diabetes/4/biMeanInfgain/mixup__RandomUnderSampler__Standard/XGBmodel,False,0.1,0.35
5,W_R,0.8442,log/pimaindians_diabetes/7/biMaxInfgain/MinMax__noAUG__TomekLinks/GradientBoosting,True,0.1,0.35
5,W_F1,0.8474,log/pimaindians_diabetes/7/biMaxInfgain/MinMax__noAUG__TomekLinks/GradientBoosting,True,0.1,0.35
5,Acc,0.8442,log/pimaindians_diabetes/7/biMaxInfgain/MinMax__noAUG__TomekLinks/GradientBoosting,True,0.1,0.35
