Model_A,Model_B,Cliffs_Delta
DTmodel,GradientBoosting,-1.0
DTmodel,LogisticRegression,-1.0
DTmodel,XGBmodel,-1.0
DTmodel,random_forest,-1.0
DTmodel,sklearn_SVM,-1.0
GradientBoosting,LogisticRegression,-0.6111111111111112
GradientBoosting,XGBmodel,0.05555555555555555
GradientBoosting,random_forest,0.2222222222222222
GradientBoosting,sklearn_SVM,-0.5
LogisticRegression,XGBmodel,0.5555555555555556
LogisticRegression,random_forest,0.5
LogisticRegression,sklearn_SVM,0.0
XGBmodel,random_forest,0.2222222222222222
XGBmodel,sklearn_SVM,-0.5
random_forest,sklearn_SVM,-0.6666666666666666
